pin,direction,use,pin_family,pin_index,is_position_bus,layers,shape_count,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,ll_bbox_x1,ll_bbox_y1,ll_bbox_x2,ll_bbox_y2,ll_center_x,ll_center_y,width,height,side,edge_distance
Cout[29],INOUT,SIGNAL,Cout,29,NO,MET3,1,1290.595,1659.395,1290.875,1659.675,1290.7350000000001,1659.5349999999999,1341.99,1725.2549999999999,1342.27,1725.5349999999999,1342.13,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[30],INOUT,SIGNAL,Cout,30,NO,MET3,1,1333.895,1659.395,1334.175,1659.675,1334.0349999999999,1659.5349999999999,1385.29,1725.2549999999999,1385.57,1725.5349999999999,1385.4299999999998,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[31],INOUT,SIGNAL,Cout,31,NO,MET3,1,1377.195,1659.395,1377.475,1659.675,1377.335,1659.5349999999999,1428.59,1725.2549999999999,1428.87,1725.5349999999999,1428.73,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[32],INOUT,SIGNAL,Cout,32,NO,MET3,1,1420.495,1659.395,1420.775,1659.675,1420.635,1659.5349999999999,1471.8899999999999,1725.2549999999999,1472.17,1725.5349999999999,1472.03,1725.3949999999998,0.2800000000002001,0.2799999999999727,TOP,0.005000000000109139
Cout[33],INOUT,SIGNAL,Cout,33,NO,MET3,1,1463.795,1659.395,1464.075,1659.675,1463.935,1659.5349999999999,1515.19,1725.2549999999999,1515.47,1725.5349999999999,1515.33,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[34],INOUT,SIGNAL,Cout,34,NO,MET3,1,1507.095,1659.395,1507.375,1659.675,1507.2350000000001,1659.5349999999999,1558.49,1725.2549999999999,1558.77,1725.5349999999999,1558.63,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[35],INOUT,SIGNAL,Cout,35,NO,MET3,1,1550.395,1659.395,1550.675,1659.675,1550.5349999999999,1659.5349999999999,1601.79,1725.2549999999999,1602.07,1725.5349999999999,1601.9299999999998,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[36],INOUT,SIGNAL,Cout,36,NO,MET3,1,1593.695,1659.395,1593.975,1659.675,1593.835,1659.5349999999999,1645.09,1725.2549999999999,1645.37,1725.5349999999999,1645.23,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[37],INOUT,SIGNAL,Cout,37,NO,MET3,1,1636.995,1659.395,1637.275,1659.675,1637.135,1659.5349999999999,1688.3899999999999,1725.2549999999999,1688.67,1725.5349999999999,1688.53,1725.3949999999998,0.2800000000002001,0.2799999999999727,TOP,0.005000000000109139
Cout[38],INOUT,SIGNAL,Cout,38,NO,MET3,1,1680.295,1659.395,1680.575,1659.675,1680.435,1659.5349999999999,1731.69,1725.2549999999999,1731.97,1725.5349999999999,1731.83,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[39],INOUT,SIGNAL,Cout,39,NO,MET3,1,1723.595,1659.395,1723.875,1659.675,1723.7350000000001,1659.5349999999999,1774.99,1725.2549999999999,1775.27,1725.5349999999999,1775.13,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[40],INOUT,SIGNAL,Cout,40,NO,MET3,1,1766.895,1659.395,1767.175,1659.675,1767.0349999999999,1659.5349999999999,1818.29,1725.2549999999999,1818.57,1725.5349999999999,1818.4299999999998,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[41],INOUT,SIGNAL,Cout,41,NO,MET3,1,1810.195,1659.395,1810.475,1659.675,1810.335,1659.5349999999999,1861.59,1725.2549999999999,1861.87,1725.5349999999999,1861.73,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Cout[42],INOUT,SIGNAL,Cout,42,NO,MET3,1,1853.495,1659.395,1853.775,1659.675,1853.635,1659.5349999999999,1904.8899999999999,1725.2549999999999,1905.17,1725.5349999999999,1905.03,1725.3949999999998,0.2800000000002001,0.2799999999999727,TOP,0.005000000000109139
