ns_inf,nf_inf,nslow,nfast_hit,stop_phase_disc,phase0_snap,hit_idx,correction,within_std,train_count
0,0,2,11,7,0,0,-2170.699593259733,22.772090241472373,1721
0,0,2,12,7,1,0,-3049.125141562854,23.094828193899357,1766
0,0,3,2,7,1,0,-2170.712990936556,22.892242920221783,1655
0,0,3,3,4,1,0,-2140.463700234192,5.948291501620687,427
0,0,3,3,6,1,0,-2177.597435897436,15.46159820544827,1170
0,0,3,3,7,1,0,-2207.827272727273,1.4576387557910895,110
0,0,3,4,0,1,0,-2153.9613526570047,13.073646985988695,1035
0,0,3,4,4,1,0,-2192.6793692509855,10.19145026344593,761
0,0,3,5,0,1,0,-2169.6329043088977,23.10804268967738,1787
0,0,3,6,0,0,0,-2150.494019138756,11.339105920731816,836
0,0,3,6,0,1,0,-2190.742791234141,11.765472643881834,867
0,0,3,7,0,0,0,-2170.526682134571,23.05272093172723,1724
0,0,3,8,0,0,0,-2188.0020746887967,13.244430280505714,964
0,0,3,8,1,0,0,-2148.0139470013946,10.124046559131235,717
0,0,3,9,1,0,0,-2200.963768115942,5.826488017051524,414
0,0,3,9,3,0,0,-2163.9958333333334,15.893735117085907,1200
0,0,3,10,7,0,0,-2171.5715962441313,23.125769436003203,1704
0,0,3,11,7,0,0,-2170.5865787896946,22.96438406551766,1669
0,0,3,12,7,1,0,-3050.037989479836,23.117246588250822,1711
0,0,4,2,7,1,0,-2170.082541567696,22.551202320103204,1684
0,0,4,3,4,1,0,-2140.5,5.85836346899293,426
0,0,4,3,6,1,0,-2177.5098374679214,15.95283190877626,1169
0,0,4,4,0,1,0,-2153.5072765072764,12.956205180020069,962
0,0,4,4,4,1,0,-2193.483574244415,9.952716378379447,761
0,0,4,5,0,1,0,-2169.9578567128237,22.99183230586684,1661
0,0,4,6,0,0,0,-2150.455621301775,11.106562152166802,845
0,0,4,6,0,1,0,-2190.23900789177,11.427992804207712,887
0,0,4,7,0,0,0,-2170.2564705882355,23.02045355025675,1700
0,0,4,8,0,0,0,-2188.264957264957,13.211069667192824,936
0,0,4,8,1,0,0,-2147.755905511811,10.080294335579358,762
0,0,4,9,1,0,0,-2200.345238095238,5.873860674986901,420
0,0,4,9,3,0,0,-2162.179220779221,15.908556365235587,1155
0,0,4,9,7,0,0,-2132.9850746268658,1.4350884033071585,134
0,0,4,10,7,0,0,-2170.8282710280373,23.224190675358425,1712
0,0,4,11,7,0,0,-2170.7602905569006,23.129400635678852,1652
0,0,4,12,7,1,0,-3050.9817850637523,22.908909315312847,1647
0,0,5,2,7,1,0,-2170.229228049499,23.050990469656508,1697
0,0,5,3,4,1,0,-2140.6548463356976,5.784876256019844,423
0,0,5,3,6,1,0,-2178.2538726333905,15.721985099488622,1162
0,0,5,4,0,1,0,-2152.0933191940617,12.916067574980765,943
0,0,5,4,4,1,0,-2193.054698457223,10.132839060888648,713
0,0,5,5,0,1,0,-2170.8183948447568,22.881161907595846,1707
0,0,5,6,0,0,0,-2150.635491606715,11.521910596687595,834
0,0,5,6,0,1,0,-2190.587485515643,11.53608600159224,863
0,0,5,7,0,0,0,-2170.1744885679905,23.0485726619659,1662
0,0,5,8,0,0,0,-2188.231335436383,13.379799666681304,951
0,0,5,8,1,0,0,-2147.9052631578948,9.96646871335823,760
0,0,5,9,1,0,0,-2200.5224215246635,5.762347978646456,446
0,0,5,9,3,0,0,-2162.7994880546075,15.975767691143993,1172
