term,direction,layer,purpose,llx,lly,urx,ury,cx,cy
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,143.470000,167.815000,143.970000,176.555000,143.720000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,237.470000,167.815000,237.970000,176.555000,237.720000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,331.470000,167.815000,331.970000,176.555000,331.720000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,143.470000,13.555000,143.970000,21.695000,143.720000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,237.470000,13.555000,237.970000,21.695000,237.720000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET5,pin,331.470000,13.555000,331.970000,21.695000,331.720000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,143.470000,167.815000,143.970000,176.555000,143.720000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,237.470000,167.815000,237.970000,176.555000,237.720000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,331.470000,167.815000,331.970000,176.555000,331.720000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,143.470000,13.555000,143.970000,21.695000,143.720000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,237.470000,13.555000,237.970000,21.695000,237.720000,17.625000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_AVSS,inputOutput,MET4,pin,331.470000,13.555000,331.970000,21.695000,331.720000,17.625000
I183|GNDO_AVDD,inputOutput,MET4,pin,425.470000,23.695000,425.970000,57.695000,425.720000,40.695000
I183|GNDO_AVDD,inputOutput,MET5,pin,425.470000,23.695000,425.970000,57.695000,425.720000,40.695000
I183|GNDO_AVDD,inputOutput,METTPL,pin,425.470000,23.695000,425.970000,57.695000,425.720000,40.695000
I183|GNDO_AVDD,inputOutput,MET4,pin,508.970000,23.695000,509.470000,57.695000,509.220000,40.695000
I183|GNDO_AVDD,inputOutput,MET5,pin,508.970000,23.695000,509.470000,57.695000,509.220000,40.695000
I183|GNDO_AVDD,inputOutput,METTPL,pin,508.970000,23.695000,509.470000,57.695000,509.220000,40.695000
I183|GNDO_AVDD,inputOutput,MET4,pin,519.470000,23.695000,519.970000,57.695000,519.720000,40.695000
I183|GNDO_AVDD,inputOutput,MET5,pin,519.470000,23.695000,519.970000,57.695000,519.720000,40.695000
I183|GNDO_AVDD,inputOutput,METTPL,pin,519.470000,23.695000,519.970000,57.695000,519.720000,40.695000
I183|GNDO_AVDD,inputOutput,MET4,pin,602.970000,23.695000,603.470000,57.695000,603.220000,40.695000
I183|GNDO_AVDD,inputOutput,MET5,pin,602.970000,23.695000,603.470000,57.695000,603.220000,40.695000
I183|GNDO_AVDD,inputOutput,METTPL,pin,602.970000,23.695000,603.470000,57.695000,603.220000,40.695000
I183|GNDO_AVDD,inputOutput,MET4,pin,613.470000,23.695000,613.970000,57.695000,613.720000,40.695000
I183|GNDO_AVDD,inputOutput,MET5,pin,613.470000,23.695000,613.970000,57.695000,613.720000,40.695000
I183|GNDO_AVDD,inputOutput,METTPL,pin,613.470000,23.695000,613.970000,57.695000,613.720000,40.695000
I183|GNDO_AVDD,inputOutput,MET4,pin,696.970000,23.695000,697.470000,57.695000,697.220000,40.695000
I183|GNDO_AVDD,inputOutput,MET5,pin,696.970000,23.695000,697.470000,57.695000,697.220000,40.695000
I183|GNDO_AVDD,inputOutput,METTPL,pin,696.970000,23.695000,697.470000,57.695000,697.220000,40.695000
I183|PSUB_AVDD,inputOutput,METTPL,pin,508.970000,168.315000,509.470000,176.555000,509.220000,172.435000
I183|PSUB_AVDD,inputOutput,MET4,pin,425.470000,13.555000,425.970000,21.695000,425.720000,17.625000
I183|PSUB_AVDD,inputOutput,MET4,pin,425.470000,167.815000,425.970000,176.555000,425.720000,172.185000
I183|PSUB_AVDD,inputOutput,MET5,pin,425.470000,13.555000,425.970000,21.695000,425.720000,17.625000
I183|PSUB_AVDD,inputOutput,MET5,pin,425.470000,167.815000,425.970000,176.555000,425.720000,172.185000
I183|PSUB_AVDD,inputOutput,MET4,pin,508.970000,13.555000,509.470000,21.695000,509.220000,17.625000
I183|PSUB_AVDD,inputOutput,MET4,pin,508.970000,167.815000,509.470000,176.555000,509.220000,172.185000
I183|PSUB_AVDD,inputOutput,MET5,pin,508.970000,13.555000,509.470000,21.695000,509.220000,17.625000
I183|PSUB_AVDD,inputOutput,MET5,pin,508.970000,167.815000,509.470000,176.555000,509.220000,172.185000
I183|PSUB_AVDD,inputOutput,METTPL,pin,425.470000,13.555000,425.970000,20.955000,425.720000,17.255000
I183|PSUB_AVDD,inputOutput,METTPL,pin,508.970000,13.555000,509.470000,20.955000,509.220000,17.255000
I183|PSUB_AVDD,inputOutput,METTPL,pin,425.470000,168.315000,425.970000,176.555000,425.720000,172.435000
I183|PSUB_AVDD,inputOutput,METTPL,pin,508.970000,168.315000,509.470000,176.555000,509.220000,172.435000
I183|PSUB_AVDD,inputOutput,METTPL,pin,602.970000,168.315000,603.470000,176.555000,603.220000,172.435000
I183|PSUB_AVDD,inputOutput,MET4,pin,519.470000,13.555000,519.970000,21.695000,519.720000,17.625000
