inst,master_lib,master_cell,master_view,orient,term,direction,net,layer,purpose,master_llx,master_lly,master_urx,master_ury,top_llx,top_lly,top_urx,top_ury,top_cx,top_cy,norm_top_llx,norm_top_lly,norm_top_urx,norm_top_ury,norm_top_cx,norm_top_cy,nearest_inst_side
M182,SPADMIC,matrice4,layout,,Yz<14>,inputOutput,,MET2,pin,1940.085000,374.075000,1940.365000,374.355000,2017.150000,1006.115000,2017.430000,1006.395000,2017.290000,1006.255000,2017.390000,1293.830000,2017.670000,1294.110000,2017.530000,1293.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<15>,inputOutput,,MET2,pin,1940.085000,399.635000,1940.365000,399.915000,2017.150000,1031.675000,2017.430000,1031.955000,2017.290000,1031.815000,2017.390000,1319.390000,2017.670000,1319.670000,2017.530000,1319.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<14>,inputOutput,,MET2,pin,1940.085000,374.635000,1940.365000,374.915000,2017.150000,1006.675000,2017.430000,1006.955000,2017.290000,1006.815000,2017.390000,1294.390000,2017.670000,1294.670000,2017.530000,1294.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<13>,inputOutput,,MET2,pin,1940.085000,349.075000,1940.365000,349.355000,2017.150000,981.115000,2017.430000,981.395000,2017.290000,981.255000,2017.390000,1268.830000,2017.670000,1269.110000,2017.530000,1268.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<12>,inputOutput,,MET2,pin,1940.085000,324.075000,1940.365000,324.355000,2017.150000,956.115000,2017.430000,956.395000,2017.290000,956.255000,2017.390000,1243.830000,2017.670000,1244.110000,2017.530000,1243.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<1>,inputOutput,,MET2,pin,1940.085000,49.075000,1940.365000,49.355000,2017.150000,681.115000,2017.430000,681.395000,2017.290000,681.255000,2017.390000,968.830000,2017.670000,969.110000,2017.530000,968.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<0>,inputOutput,,MET2,pin,1940.085000,24.075000,1940.365000,24.355000,2017.150000,656.115000,2017.430000,656.395000,2017.290000,656.255000,2017.390000,943.830000,2017.670000,944.110000,2017.530000,943.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<1>,inputOutput,,MET2,pin,1940.085000,49.635000,1940.365000,49.915000,2017.150000,681.675000,2017.430000,681.955000,2017.290000,681.815000,2017.390000,969.390000,2017.670000,969.670000,2017.530000,969.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<0>,inputOutput,,MET2,pin,1940.085000,24.635000,1940.365000,24.915000,2017.150000,656.675000,2017.430000,656.955000,2017.290000,656.815000,2017.390000,944.390000,2017.670000,944.670000,2017.530000,944.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<13>,inputOutput,,MET2,pin,1940.085000,349.635000,1940.365000,349.915000,2017.150000,981.675000,2017.430000,981.955000,2017.290000,981.815000,2017.390000,1269.390000,2017.670000,1269.670000,2017.530000,1269.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<12>,inputOutput,,MET2,pin,1940.085000,324.635000,1940.365000,324.915000,2017.150000,956.675000,2017.430000,956.955000,2017.290000,956.815000,2017.390000,1244.390000,2017.670000,1244.670000,2017.530000,1244.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<11>,inputOutput,,MET2,pin,1940.085000,299.075000,1940.365000,299.355000,2017.150000,931.115000,2017.430000,931.395000,2017.290000,931.255000,2017.390000,1218.830000,2017.670000,1219.110000,2017.530000,1218.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<10>,inputOutput,,MET2,pin,1940.085000,274.075000,1940.365000,274.355000,2017.150000,906.115000,2017.430000,906.395000,2017.290000,906.255000,2017.390000,1193.830000,2017.670000,1194.110000,2017.530000,1193.970000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<11>,inputOutput,,MET2,pin,1940.085000,299.635000,1940.365000,299.915000,2017.150000,931.675000,2017.430000,931.955000,2017.290000,931.815000,2017.390000,1219.390000,2017.670000,1219.670000,2017.530000,1219.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Y<10>,inputOutput,,MET2,pin,1940.085000,274.635000,1940.365000,274.915000,2017.150000,906.675000,2017.430000,906.955000,2017.290000,906.815000,2017.390000,1194.390000,2017.670000,1194.670000,2017.530000,1194.530000,RIGHT
M182,SPADMIC,matrice4,layout,,Yz<9>,inputOutput,,MET2,pin,1940.085000,249.075000,1940.365000,249.355000,2017.150000,881.115000,2017.430000,881.395000,2017.290000,881.255000,2017.390000,1168.830000,2017.670000,1169.110000,2017.530000,1168.970000,RIGHT
