objType,layer,purpose,llx,lly,urx,ury,width,height,cx,cy
label,MET5,TEXT,600.148000,148.029000,627.292000,151.315000,27.144000,3.286000,613.720000,149.672000
label,METTPL,TEXT,599.541000,38.909000,627.399000,42.195000,27.858000,3.286000,613.470000,40.552000
label,METTPL,TEXT,599.898000,148.029000,627.042000,151.315000,27.144000,3.286000,613.470000,149.672000
label,MET4,TEXT,683.291000,38.909000,711.149000,42.195000,27.858000,3.286000,697.220000,40.552000
label,MET4,TEXT,683.505000,15.839000,710.935000,19.125000,27.430000,3.286000,697.220000,17.482000
label,MET4,TEXT,683.505000,170.049000,710.935000,173.335000,27.430000,3.286000,697.220000,171.692000
label,MET4,TEXT,683.648000,148.029000,710.792000,151.315000,27.144000,3.286000,697.220000,149.672000
label,MET5,TEXT,683.291000,38.909000,711.149000,42.195000,27.858000,3.286000,697.220000,40.552000
label,MET5,TEXT,683.505000,15.839000,710.935000,19.125000,27.430000,3.286000,697.220000,17.482000
label,MET5,TEXT,683.505000,170.049000,710.935000,173.335000,27.430000,3.286000,697.220000,171.692000
label,MET5,TEXT,683.648000,148.029000,710.792000,151.315000,27.144000,3.286000,697.220000,149.672000
label,METTPL,TEXT,683.541000,38.909000,711.399000,42.195000,27.858000,3.286000,697.470000,40.552000
label,METTPL,TEXT,683.898000,148.029000,711.042000,151.315000,27.144000,3.286000,697.470000,149.672000
label,METTPL,TEXT,599.755000,15.594000,627.185000,18.880000,27.430000,3.286000,613.470000,17.237000
label,METTPL,TEXT,683.755000,15.594000,711.185000,18.880000,27.430000,3.286000,697.470000,17.237000
label,METTPL,TEXT,599.755000,170.299000,627.185000,173.585000,27.430000,3.286000,613.470000,171.942000
label,METTPL,TEXT,683.755000,170.299000,711.185000,173.585000,27.430000,3.286000,697.470000,171.942000
label,METTPL,TEXT,689.112000,38.909000,726.828000,42.195000,37.716000,3.286000,707.970000,40.552000
label,METTPL,TEXT,690.765000,170.039000,725.195000,173.325000,34.430000,3.286000,707.980000,171.682000
label,MET5,TEXT,689.112000,37.909000,726.828000,41.195000,37.716000,3.286000,707.970000,39.552000
label,METTPL,TEXT,689.469000,148.229000,726.471000,151.515000,37.002000,3.286000,707.970000,149.872000
label,MET5,TEXT,690.755000,15.819000,725.185000,19.105000,34.430000,3.286000,707.970000,17.462000
label,MET4,TEXT,690.755000,170.039000,725.185000,173.325000,34.430000,3.286000,707.970000,171.682000
label,MET4,TEXT,690.755000,15.819000,725.185000,19.105000,34.430000,3.286000,707.970000,17.462000
