config,delay_ps,estimator,N,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
multihit_15_cal_nominal,200,conv_mean,10,1000,-1982.6512000000007,0.4890989447727103,-1982.6666666666667,-1967.2,-1982.6666666666667,1982.651260267423,1982.6512000000007,1982.6666666666667,1982.6666666666667
multihit_15_cal_nominal,200,conv_mean,11,1000,-1982.6385454545464,0.6284946209001692,-1982.666666666667,-1968.6060606060607,-1982.666666666667,1982.6386449710396,1982.6385454545464,1982.666666666667,1982.666666666667
multihit_15_cal_nominal,200,conv_mean,12,1000,-1982.6537777777787,0.40758245397725856,-1982.666666666667,-1969.777777777778,-1982.666666666667,1982.6538196301008,1982.6537777777787,1982.666666666667,1982.666666666667
multihit_15_cal_nominal,200,conv_mean,13,1000,-1982.619076923078,0.7513292458537303,-1982.666666666667,-1970.769230769231,-1982.666666666667,1982.6192191418036,1982.619076923078,1982.666666666667,1982.666666666667
multihit_15_cal_nominal,200,conv_mean,14,1000,-1982.622476190477,0.6976628711498986,-1982.6666666666672,-1971.619047619048,-1982.6666666666672,1982.622598817638,1982.622476190477,1982.6666666666672,1982.6666666666672
multihit_15_cal_nominal,200,conv_mean,15,1000,-1982.604800000001,0.7966939882668705,-1982.6666666666672,-1972.355555555556,-1982.6666666666672,1982.6049599124963,1982.604800000001,1982.6666666666672,1982.6666666666672
multihit_15_cal_nominal,500,conv_mean,1,1000,-1751.8453333333332,4.8909894477270885,-1752.0,-1597.3333333333335,-1752.0,1751.8521540865763,1751.8453333333332,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,2,1000,-1751.9226666666668,2.4454947238635443,-1752.0,-1674.6666666666667,-1752.0,1751.9243717821967,1751.9226666666668,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,3,1000,-1751.9484444444445,1.630329815909027,-1752.0,-1700.4444444444446,-1752.0,1751.9492022626232,1751.9484444444445,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,4,1000,-1751.9613333333332,1.2227473619317686,-1752.0,-1713.3333333333335,-1752.0,1751.9617596029632,1751.9613333333332,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,5,1000,-1751.9690666666665,0.9781978895454134,-1752.0,-1721.0666666666668,-1752.0,1751.9693394780377,1751.9690666666665,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,6,1000,-1751.9742222222224,0.8151649079545097,-1752.0,-1726.2222222222224,-1752.0,1751.97441167401,1751.9742222222224,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,7,1000,-1752.0,0.0,-1752.0,-1752.0,-1752.0,1752.0,1752.0,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,8,1000,-1751.9806666666668,0.6113736809658843,-1752.0,-1732.6666666666667,-1752.0,1751.9807732329077,1751.9806666666668,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,9,1000,-1751.982814814815,0.543443271969678,-1752.0,-1734.8148148148148,-1752.0,1751.9828990151989,1751.982814814815,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,10,1000,-1751.9690666666665,0.6913440829901691,-1752.0,-1736.5333333333335,-1752.0,1751.9692029358152,1751.9690666666665,1752.0,1752.0
multihit_15_cal_nominal,500,conv_mean,11,1000,-1751.971878787879,0.628494620900149,-1752.0,-1737.9393939393942,-1752.0,1751.9719914068298,1751.971878787879,1752.0,1752.0
